transaction_id,customer_id,account_type,transaction_type,amount,currency,transaction_date,merchant,city,status
TXN100000,CUST1257,Credit,Debit,187276.31,INR,2023-02-02,HDFC,Mumbai,Success
TXN100001,CUST1044,Credit,Debit,475357.65,USD,2024-01-26,Walmart,Bangalore,Failed
TXN100002,CUST9460,nan,Credit,365999.65,EUR,2023-03-24,Flipkart,Delhi,Success
TXN100003,CUST2334,Savings,Debit,299333.26,INR,2023-01-25,Flipkart,Mumbai,Success
TXN100004,CUST1671,nan,Credit,78017.76,USD,2024-03-28,Amazon,Mumbai,Success
TXN100005,CUST8000,Savings,Debit,78005.7,INR,2024-03-08,ICICI,Mumbai,Failed
TXN100006,CUST4638,Current,Debit,,INR,2023-03-15,Flipkart,Chennai,Success
TXN100007,CUST7085,Current,Credit,433089.41,INR,2024-10-05,nan,Delhi,Success
TXN100008,CUST1234,Savings,Debit,300561.49,INR,2024-10-25,ICICI,Pune,Success
TXN100009,CUST7834,Credit,Debit,354039.21,INR,2024-03-05,Flipkart,Mumbai,Success
TXN100010,CUST4207,Current,Debit,10302.04,INR,2024-05-17,Amazon,Chennai,Success
TXN100011,CUST6564,Savings,Debit,484955.23,INR,2024-05-22,HDFC,Mumbai,Failed
TXN100012,CUST3400,Savings,Credit,416223.0,INR,2024-01-31,SBI,Pune,Failed
TXN100013,CUST6089,Savings,Debit,106177.43,INR,2024-12-02,HDFC,Mumbai,Success
TXN100014,CUST8551,Current,Debit,90920.67,INR,2023-08-06,Amazon,Mumbai,Success
TXN100015,CUST6005,Current,Credit,,EUR,2024-04-04,ICICI,Delhi,Success
TXN100016,CUST8490,Current,Debit,,INR,2023-11-14,nan,Mumbai,Success
TXN100017,CUST8740,Savings,Debit,262382.97,USD,2023-11-14,Amazon,Pune,Success
TXN100018,CUST9631,Current,Credit,215978.19,INR,2024-08-10,ICICI,Mumbai,Pending
TXN100019,CUST6182,Loan,Credit,145621.66,INR,2024-03-17,ICICI,Mumbai,Success
TXN100020,CUST1650,Savings,Debit,305930.33,INR,2023-06-15,Walmart,Mumbai,Success
TXN100021,CUST1033,Savings,Debit,,EUR,2024-03-27,HDFC,Pune,Success
TXN100022,CUST4032,Current,Debit,146079.4,INR,2023-05-25,Amazon,Chennai,Failed
